

|    |Country     |IT Job                    |Statistic |  Value|Currency |
|227 |Germany     |Data Scientist            |STD       |  47769|USD      |
|228 |Germany     |Machine Learning Engineer |MAX       | 231235|USD      |
|229 |Germany     |Machine Learning Engineer |MEAN      | 117299|USD      |
|230 |Germany     |Machine Learning Engineer |MEDIAN    |  91773|USD      |
|231 |Germany     |Machine Learning Engineer |MIN       |  45751|USD      |
|232 |Germany     |Machine Learning Engineer |STD       |  53358|USD      |
|233 |Germany     |Senior Data Analyst       |MAX       | 122982|USD      |
|234 |Germany     |Senior Data Analyst       |MEAN      | 102543|USD      |
|235 |Germany     |Senior Data Analyst       |MEDIAN    | 114510|USD      |
|236 |Germany     |Senior Data Analyst       |MIN       |  59328|USD      |
|237 |Germany     |Senior Data Analyst       |STD       |  19945|USD      |
|238 |Germany     |Senior Data Engineer      |MAX       | 160165|USD      |
|239 |Germany     |Senior Data Engineer      |MEAN      | 131379|USD      |
|240 |Germany     |Senior Data Engineer      |MEDIAN    | 151925|USD      |
|241 |Germany     |Senior Data Engineer      |MIN       |  75087|USD      |
|242 |Germany     |Senior Data Engineer      |STD       |  30406|USD      |
|243 |Germany     |Senior Data Scientist     |MAX       | 231235|USD      |
|244 |Germany     |Senior Data Scientist     |MEAN      | 153190|USD      |
|245 |Germany     |Senior Data Scientist     |MEDIAN    | 162225|USD      |
|246 |Germany     |Senior Data Scientist     |MIN       |  83275|USD      |
|247 |Germany     |Senior Data Scientist     |STD       |  34645|USD      |
|248 |Germany     |Software Engineer         |MAX       | 182601|USD      |
|249 |Germany     |Software Engineer         |MEAN      |  93805|USD      |
|250 |Germany     |Software Engineer         |MEDIAN    |  87524|USD      |
|251 |Germany     |Software Engineer         |MIN       |  58401|USD      |
|252 |Germany     |Software Engineer         |STD       |  44528|USD      |
|253 |Greece      |Business Analyst          |MAX       |  75087|USD      |
|254 |Greece      |Business Analyst          |MEAN      |  68289|USD      |
|255 |Greece      |Business Analyst          |MEDIAN    |  64890|USD      |
|256 |Greece      |Business Analyst          |MIN       |  64890|USD      |
|257 |Greece      |Business Analyst          |STD       |   5887|USD      |
|258 |Greece      |Data Analyst              |MAX       | 206000|USD      |
|259 |Greece      |Data Analyst              |MEAN      | 115033|USD      |
|260 |Greece      |Data Analyst              |MEDIAN    | 102485|USD      |
|261 |Greece      |Data Analyst              |MIN       |  54604|USD      |
|262 |Greece      |Data Analyst              |STD       |  41499|USD      |
|263 |Greece      |Data Engineer             |MAX       | 151925|USD      |
|264 |Greece      |Data Engineer             |MEAN      | 100228|USD      |
|265 |Greece      |Data Engineer             |MEDIAN    |  99676|USD      |
|266 |Greece      |Data Engineer             |MIN       |  46350|USD      |
|267 |Greece      |Data Engineer             |STD       |  33161|USD      |
|268 |Greece      |Data Scientist            |MAX       | 176254|USD      |
|269 |Greece      |Data Scientist            |MEAN      | 100451|USD      |
|270 |Greece      |Data Scientist            |MEDIAN    |  92581|USD      |
|271 |Greece      |Data Scientist            |MIN       |  52600|USD      |
|272 |Greece      |Data Scientist            |STD       |  31728|USD      |
|273 |Greece      |Machine Learning Engineer |MAX       | 182601|USD      |
|274 |Greece      |Machine Learning Engineer |MEAN      | 118965|USD      |
|275 |Greece      |Machine Learning Engineer |MEDIAN    | 104059|USD      |
|276 |Greece      |Machine Learning Engineer |MIN       |  75087|USD      |
|277 |Greece      |Machine Learning Engineer |STD       |  37173|USD      |
|278 |Greece      |Senior Data Engineer      |MAX       |  46350|USD      |
|279 |Greece      |Senior Data Engineer      |MEAN      |  46350|USD      |
|280 |Greece      |Senior Data Engineer      |MEDIAN    |  46350|USD      |
|281 |Greece      |Senior Data Engineer      |MIN       |  46350|USD      |
|282 |Greece      |Senior Data Scientist     |MAX       | 206000|USD      |
|283 |Greece      |Senior Data Scientist     |MEAN      | 117020|USD      |
|284 |Greece      |Senior Data Scientist     |MEDIAN    |  91863|USD      |
|285 |Greece      |Senior Data Scientist     |MIN       |  75087|USD      |
|286 |Greece      |Senior Data Scientist     |STD       |  54310|USD      |
|287 |Greece      |Software Engineer         |MAX       | 161195|USD      |
|288 |Greece      |Software Engineer         |MEAN      |  93755|USD      |
|289 |Greece      |Software Engineer         |MEDIAN    |  83430|USD      |
|290 |Greece      |Software Engineer         |MIN       |  58401|USD      |
|291 |Greece      |Software Engineer         |STD       |  39931|USD      |
|292 |Hungary     |Cloud Engineer            |MAX       |  91773|USD      |
|293 |Hungary     |Cloud Engineer            |MEAN      |  91773|USD      |
|294 |Hungary     |Cloud Engineer            |MEDIAN    |  91773|USD      |
|295 |Hungary     |Cloud Engineer            |MIN       |  91773|USD      |
|296 |Hungary     |Data Analyst              |MAX       | 159650|USD      |
|297 |Hungary     |Data Analyst              |MEAN      |  90438|USD      |
|298 |Hungary     |Data Analyst              |MEDIAN    |  83275|USD      |
|299 |Hungary     |Data Analyst              |MIN       |  51053|USD      |
|300 |Hungary     |Data Analyst              |STD       |  32702|USD      |
|301 |Hungary     |Data Engineer             |MAX       | 151925|USD      |
|302 |Hungary     |Data Engineer             |MEAN      | 136830|USD      |
|303 |Hungary     |Data Engineer             |MEDIAN    | 151925|USD      |
|304 |Hungary     |Data Engineer             |MIN       |  99676|USD      |
|305 |Hungary     |Data Engineer             |STD       |  21557|USD      |
|306 |Hungary     |Data Scientist            |MAX       | 162225|USD      |
|307 |Hungary     |Data Scientist            |MEAN      | 100688|USD      |
|308 |Hungary     |Data Scientist            |MEDIAN    |  91773|USD      |
|309 |Hungary     |Data Scientist            |MIN       |  58401|USD      |
|310 |Hungary     |Data Scientist            |STD       |  38032|USD      |
|311 |Hungary     |Machine Learning Engineer |MAX       | 191065|USD      |
|312 |Hungary     |Machine Learning Engineer |MEAN      | 112424|USD      |
|313 |Hungary     |Machine Learning Engineer |MEDIAN    |  83275|USD      |
|314 |Hungary     |Machine Learning Engineer |MIN       |  58401|USD      |
|315 |Hungary     |Machine Learning Engineer |STD       |  63835|USD      |
|316 |Hungary     |Senior Data Analyst       |MAX       |  91773|USD      |
|317 |Hungary     |Senior Data Analyst       |MEAN      |  90382|USD      |
|318 |Hungary     |Senior Data Analyst       |MEDIAN    |  90382|USD      |
|319 |Hungary     |Senior Data Analyst       |MIN       |  88992|USD      |
|320 |Hungary     |Senior Data Analyst       |STD       |   1966|USD      |
|321 |Hungary     |Senior Data Engineer      |MAX       | 151925|USD      |
|322 |Hungary     |Senior Data Engineer      |MEAN      | 151925|USD      |
|323 |Hungary     |Senior Data Engineer      |MEDIAN    | 151925|USD      |
