

|Skills        | T6_9| T9_12| T12_15| T15_18| T18_21| T21_24| T24_27|
|selenium      |    1|     1|     NA|     NA|     NA|     NA|     NA|
|ruby on rails |   NA|     1|     NA|     NA|     NA|     NA|     NA|
|no-sql        |    1|     1|     NA|     NA|     NA|     NA|     NA|
|ms access     |   NA|     1|     NA|     NA|     NA|     NA|     NA|
|ibm cloud     |   NA|     1|     NA|     NA|     NA|     NA|     NA|
|debian        |   NA|    NA|     NA|     NA|      1|     NA|     NA|
|t-sql         |    2|    NA|     NA|      4|     NA|     NA|     NA|
|splunk        |   NA|    NA|     NA|      2|     NA|     NA|     NA|
|ggplot2       |   NA|    NA|     NA|      2|     NA|     NA|     NA|
|smartsheet    |   NA|    NA|     NA|      1|     NA|     NA|     NA|
|sass          |   NA|    NA|     NA|      1|     NA|     NA|     NA|
|rshiny        |   NA|    NA|     NA|      1|     NA|     NA|     NA|
|redhat        |   NA|    NA|     NA|      1|     NA|     NA|     NA|
|php           |    3|    NA|     NA|      1|     NA|     NA|     NA|
|macos         |   NA|    NA|     NA|      1|     NA|     NA|     NA|
|firebase      |   NA|    NA|     NA|      1|     NA|     NA|     NA|
|dplyr         |   NA|    NA|     NA|      1|     NA|     NA|     NA|
|aurora        |   NA|    NA|     NA|      1|     NA|     NA|     NA|
|asp.net       |   NA|    NA|     NA|      1|     NA|     NA|     NA|
|asana         |    1|    NA|     NA|      1|     NA|     NA|     NA|
|vue.js        |    2|    NA|     NA|     NA|     NA|     NA|     NA|
|ubuntu        |    1|    NA|     NA|     NA|     NA|     NA|     NA|
|trello        |    1|    NA|     NA|     NA|     NA|     NA|     NA|
|symphony      |    1|    NA|     NA|     NA|     NA|     NA|     NA|
|svn           |    1|    NA|     NA|     NA|     NA|     NA|     NA|
|pascal        |    1|    NA|     NA|     NA|     NA|     NA|     NA|
|openstack     |    1|    NA|     NA|     NA|     NA|     NA|     NA|
|microstrategy |    1|    NA|     NA|     NA|     NA|     NA|     NA|
|mariadb       |    1|    NA|     NA|     NA|     NA|     NA|     NA|
|groovy        |    1|    NA|     NA|     NA|     NA|     NA|     NA|
|datarobot     |    1|    NA|     NA|     NA|     NA|     NA|     NA|
|cognos        |    1|    NA|     NA|     NA|     NA|     NA|     NA|
|centos        |    1|    NA|     NA|     NA|     NA|     NA|     NA|
|unity         |   NA|    NA|     NA|     NA|     NA|     NA|     NA|
|tidyverse     |   NA|    NA|     NA|     NA|     NA|     NA|     NA|
|flutter       |   NA|    NA|     NA|     NA|     NA|     NA|     NA|
|firestore     |   NA|    NA|     NA|     NA|     NA|     NA|     NA|
|elixir        |   NA|    NA|     NA|     NA|     NA|     NA|     NA|
|blazor        |   NA|    NA|     NA|     NA|     NA|     NA|     NA|
##------ Thu Dec  5 17:27:43 2024 ------##
[1] "Europe/Paris"
[1] "YoJoseParra"
