Skills,Job,Country,n,mean
spark,Data Analyst,Germany,7.0,142408.5357142857
spark,Senior Data Engineer,France,7.0,151925.0
snowflake,Senior Data Scientist,Germany,7.0,159282.14285714287
scala,Data Engineer,Spain,7.0,107767.28142857143
scala,Data Engineer,Portugal,7.0,126551.39142857143
scala,Data Engineer,Greece,7.0,90621.31285714285
r,Data Analyst,Netherlands,7.0,102955.12142857142
r,Data Analyst,Germany,7.0,84317.78642857143
pytorch,Machine Learning Engineer,Greece,7.0,115435.33714285714
python,Data Engineer,Sweden,7.0,136201.68214285714
python,Data Analyst,Italy,7.0,81464.46571428572
python,Data Scientist,Hungary,7.0,110713.96428571429
python,Data Scientist,Belgium,7.0,126977.81142857143
postgresql,Data Engineer,France,7.0,129952.30428571429
nosql,Data Engineer,Greece,7.0,107206.74071428573
looker,Data Analyst,Portugal,7.0,108679.56714285714
linux,Data Engineer,Netherlands,7.0,105400.6357142857
kafka,Data Engineer,Portugal,7.0,134653.81285714285
java,Data Engineer,Greece,7.0,94726.59857142856
go,Data Analyst,Belgium,7.0,66534.32142857143
github,Data Engineer,Poland,7.0,120465.85714285714
git,Data Engineer,Portugal,7.0,113198.17714285714
git,Data Scientist,France,7.0,109106.42857142857
gcp,Data Engineer,Portugal,7.0,117750.63
excel,Data Analyst,Netherlands,7.0,87931.83571428571
excel,Data Analyst,Germany,7.0,90252.13142857142
databricks,Senior Data Engineer,Germany,7.0,144435.42857142858
azure,Data Engineer,Belgium,7.0,107271.11571428573
aws,Data Engineer,Ireland,7.0,135867.74142857143
aws,Senior Data Scientist,Germany,7.0,169140.7142857143
airflow,Data Engineer,Spain,7.0,112327.31214285715
airflow,Senior Data Engineer,France,7.0,151925.0
tensorflow,Machine Learning Engineer,Spain,6.0,124514.29666666665
tensorflow,Machine Learning Engineer,Poland,6.0,128318.00083333334
tensorflow,Machine Learning Engineer,Greece,6.0,124207.87166666666
tensorflow,Data Scientist,France,6.0,106860.86916666666
tableau,Data Engineer,Portugal,6.0,111884.77999999998
sql,Data Engineer,Sweden,6.0,123778.96250000001
sql,Senior Data Engineer,Spain,6.0,119068.0
sql,Data Analyst,Italy,6.0,89387.34833333333
sql,Data Analyst,Hungary,6.0,93359.80083333333
sql,Business Analyst,Germany,6.0,83095.25
spark,Machine Learning Engineer,Greece,6.0,120114.65166666667
scikit-learn,Data Scientist,France,6.0,129155.5625
sas,Data Scientist,Belgium,6.0,114589.56
redshift,Data Engineer,Portugal,6.0,140483.41666666666
r,Data Scientist,Belgium,6.0,121103.27999999998
pytorch,Machine Learning Engineer,Poland,6.0,111571.9175
pytorch,Machine Learning Engineer,France,6.0,93443.31666666667
python,Senior Data Scientist,Portugal,6.0,145535.7383333333
python,Software Engineer,Poland,6.0,96176.25
python,Data Analyst,Ireland,6.0,105429.08333333333
python,Software Engineer,France,6.0,123036.67583333333
python,Senior Data Scientist,France,6.0,138741.0
python,Senior Data Analyst,France,6.0,107925.37416666666
pandas,Data Scientist,France,6.0,141499.16833333333
nosql,Data Engineer,Netherlands,6.0,100802.58083333333
mysql,Data Engineer,Poland,6.0,146002.5
mongodb,Software Engineer,Greece,6.0,63963.0
mongodb,Data Scientist,Belgium,6.0,114589.56
looker,Data Analyst,Poland,6.0,106822.58750000001
kubernetes,Data Engineer,Portugal,6.0,122333.61499999999
java,Data Engineer,Germany,6.0,110057.90333333332
java,Data Scientist,France,6.0,97468.38500000001
hadoop,Data Engineer,Greece,6.0,85193.53166666666
hadoop,Data Scientist,Belgium,6.0,121103.27999999998
git,Data Engineer,Germany,6.0,120466.05333333334
gcp,Machine Learning Engineer,Portugal,6.0,147925.16666666666
gcp,Data Engineer,Germany,6.0,125001.83
excel,Data Analyst,Belgium,6.0,83100.48583333334
docker,Machine Learning Engineer,Portugal,6.0,128595.5
cassandra,Data Engineer,France,6.0,115096.0625
azure,Data Engineer,Sweden,6.0,135857.2575
azure,Data Scientist,France,6.0,118158.16666666667
aws,Data Scientist,Spain,6.0,103268.22916666667
aws,Machine Learning Engineer,Portugal,6.0,129711.33333333333
aws,Data Scientist,France,6.0,140520.66833333333
airflow,Senior Data Scientist,Germany,6.0,158791.66666666666
windows,Data Analyst,Poland,5.0,112723.2
terraform,Data Engineer,Spain,5.0,101034.863
terraform,Machine Learning Engineer,Portugal,5.0,120118.6
terraform,Data Engineer,Portugal,5.0,138195.1
terraform,Data Engineer,Germany,5.0,138349.6
terraform,Data Engineer,France,5.0,131301.928
tensorflow,Data Scientist,Poland,5.0,138136.18399999998
tensorflow,Machine Learning Engineer,Germany,5.0,132622.8
tableau,Data Engineer,Spain,5.0,114699.87299999999
tableau,Senior Data Analyst,Germany,5.0,116210.16200000001
tableau,Data Engineer,France,5.0,122461.438
ssis,Data Engineer,Greece,5.0,103624.901
sql,Data Scientist,Sweden,5.0,132699.02
sql,Data Engineer,Romania,5.0,107490.182
sql,Senior Data Scientist,Portugal,5.0,156045.0
sql,Senior Data Analyst,Poland,5.0,109962.8
sql,Machine Learning Engineer,Poland,5.0,151451.2
sql,Senior Data Engineer,Ireland,5.0,153676.0
sql,Data Engineer,Ireland,5.0,129583.06400000001
sql,Data Engineer,Hungary,5.0,141786.298
sql,Senior Data Scientist,France,5.0,148134.6
spark,Data Engineer,Sweden,5.0,142778.6
spark,Senior Data Engineer,Spain,5.0,131094.898
spark,Machine Learning Engineer,Portugal,5.0,157981.4
spark,Software Engineer,Poland,5.0,91773.0
spark,Senior Data Engineer,Poland,5.0,85078.0
spark,Data Scientist,Poland,5.0,105348.4
spark,Data Scientist,France,5.0,89936.304
spark,Data Analyst,France,5.0,96821.442
snowflake,Data Engineer,Spain,5.0,127296.773
snowflake,Senior Data Scientist,Poland,5.0,133843.968
snowflake,Data Scientist,Poland,5.0,162666.664
snowflake,Data Analyst,France,5.0,91734.684
scikit-learn,Machine Learning Engineer,Spain,5.0,125398.174
scala,Software Engineer,Poland,5.0,82160.628
sap,Data Analyst,Romania,5.0,78159.284
r,Data Scientist,Spain,5.0,92232.89499999999
r,Data Analyst,Portugal,5.0,96941.54000000001
r,Data Scientist,Poland,5.0,106864.354
pytorch,Data Scientist,France,5.0,97250.643
python,Senior Data Engineer,Sweden,5.0,151925.0
python,Software Engineer,Spain,5.0,133735.2
python,Senior Data Scientist,Spain,5.0,124234.274
python,Senior Data Engineer,Netherlands,5.0,141542.6
python,Senior Data Engineer,Ireland,5.0,141645.6
python,Data Analyst,Hungary,5.0,99472.662
python,Software Engineer,Germany,5.0,70050.3
python,Cloud Engineer,Germany,5.0,114618.4
python,Machine Learning Engineer,Belgium,5.0,87555.974
python,Data Engineer,Belgium,5.0,102635.071
pyspark,Data Engineer,Netherlands,5.0,135609.903
power bi,Data Analyst,Portugal,5.0,89684.984
power bi,Data Analyst,Ireland,5.0,67434.1
power bi,Data Scientist,Germany,5.0,75399.296
postgresql,Data Engineer,Netherlands,5.0,100712.988
pandas,Data Scientist,Portugal,5.0,116271.035
oracle,Data Engineer,Spain,5.0,89442.11
nosql,Data Engineer,Portugal,5.0,117295.576
nosql,Data Engineer,Poland,5.0,97922.1
mysql,Data Engineer,Greece,5.0,88792.901
looker,Senior Data Scientist,Germany,5.0,160165.0
looker,Data Analyst,Germany,5.0,89535.11899999999
kubernetes,Senior Data Engineer,France,5.0,151925.0
kotlin,Data Engineer,Poland,5.0,99312.6
kafka,Senior Data Engineer,France,5.0,151925.0
java,Data Engineer,Italy,5.0,120990.39199999999
java,Data Engineer,Ireland,5.0,141475.23799999998
go,Data Engineer,Poland,5.0,122319.298
go,Senior Data Analyst,Germany,5.0,116204.6
go,Data Engineer,France,5.0,149365.347
git,Machine Learning Engineer,Spain,5.0,118723.774
