Skills,Job,Country,n,mean
tableau,Data Analyst,Netherlands,3.0,110167.77
tableau,Business Analyst,Netherlands,3.0,88374.0
tableau,Data Engineer,Greece,3.0,108896.06333333334
ssrs,Data Engineer,Greece,3.0,114453.77166666667
ssis,Data Analyst,Belgium,3.0,96081.83333333333
sql server,Data Engineer,Greece,3.0,88845.39666666667
sql server,Senior Data Engineer,Germany,3.0,137083.73
sql server,Data Analyst,Belgium,3.0,96081.83333333333
sql,Business Analyst,Sweden,3.0,91773.0
sql,Senior Data Engineer,Portugal,3.0,134449.33333333334
sql,Senior Data Analyst,Portugal,3.0,114519.52
sql,Business Analyst,Netherlands,3.0,88374.0
sql,Senior Data Scientist,Ireland,3.0,159993.33333333334
sql,Data Scientist,Hungary,3.0,115257.0
sql,Software Engineer,Greece,3.0,63963.0
sql,Machine Learning Engineer,Greece,3.0,144577.66666666666
sql,Data Engineer,Finland,3.0,100200.97499999999
sql,Data Analyst,Denmark,3.0,80649.0
spring,Data Engineer,Poland,3.0,84288.33333333333
spark,Data Scientist,Spain,3.0,152955.0
spark,Data Scientist,Romania,3.0,97867.16666666667
spark,Data Engineer,Romania,3.0,130186.85000000002
spark,Senior Data Scientist,Poland,3.0,162225.0
spark,Senior Data Engineer,Netherlands,3.0,131874.33333333334
spark,Data Engineer,Ireland,3.0,134508.73
spark,Data Engineer,Hungary,3.0,147372.74333333332
spark,Software Engineer,Germany,3.0,99801.16333333333
spark,Business Analyst,Germany,3.0,62486.666666666664
spark,Senior Data Scientist,France,3.0,162225.0
snowflake,Senior Data Engineer,Spain,3.0,131874.33333333334
snowflake,Data Analyst,Spain,3.0,95000.33333333333
snowflake,Senior Data Engineer,Poland,3.0,114458.06333333334
snowflake,Data Analyst,Ireland,3.0,131902.48666666666
snowflake,Senior Data Analyst,France,3.0,114510.25
snowflake,Data Scientist,France,3.0,98296.33333333333
shell,Data Engineer,Spain,3.0,107303.68333333335
sharepoint,Data Analyst,Belgium,3.0,96519.58333333333
scikit-learn,Data Scientist,Netherlands,3.0,166688.33333333334
scala,Senior Data Engineer,Spain,3.0,134106.0
scala,Machine Learning Engineer,Poland,3.0,118175.33333333333
scala,Data Engineer,Ireland,3.0,134508.73
scala,Data Engineer,Germany,3.0,131874.33333333334
sap,Data Analyst,Netherlands,3.0,127436.75
sap,Data Scientist,Hungary,3.0,115257.0
sap,Data Analyst,Hungary,3.0,72254.5
sap,Data Engineer,Germany,3.0,157933.33333333334
sap,Data Scientist,Belgium,3.0,114589.56
sap,Data Analyst,Belgium,3.0,94578.03333333333
sap,Business Analyst,Belgium,3.0,80649.0
redshift,Senior Data Engineer,Spain,3.0,151925.0
redshift,Senior Data Scientist,Germany,3.0,155358.33333333334
redshift,Data Scientist,Germany,3.0,145044.94333333333
redshift,Data Engineer,Germany,3.0,117553.21333333333
redshift,Data Engineer,France,3.0,124723.73
redis,Data Engineer,Netherlands,3.0,118135.67833333333
r,Data Analyst,Sweden,3.0,107734.56666666667
r,Data Analyst,Spain,3.0,99746.91666666667
r,Data Scientist,Netherlands,3.0,121358.03333333333
r,Data Analyst,Italy,3.0,100287.66666666667
r,Machine Learning Engineer,Greece,3.0,86211.0
r,Data Scientist,Greece,3.0,135050.51
r,Senior Data Scientist,Germany,3.0,158791.66666666666
pytorch,Machine Learning Engineer,Spain,3.0,95868.62333333334
pytorch,Machine Learning Engineer,Netherlands,3.0,144577.66666666666
pytorch,Data Scientist,Netherlands,3.0,157782.2666666667
pytorch,Machine Learning Engineer,Hungary,3.0,140148.66666666666
python,Machine Learning Engineer,Sweden,3.0,133161.83333333334
python,Machine Learning Engineer,Romania,3.0,144577.66666666666
python,Data Engineer,Romania,3.0,82419.22666666667
python,Senior Data Analyst,Poland,3.0,106004.16666666667
python,Senior Data Scientist,Ireland,3.0,159993.33333333334
python,Business Analyst,Germany,3.0,75087.0
python,Machine Learning Engineer,Finland,3.0,169091.66666666666
python,Data Engineer,Finland,3.0,94407.39666666667
python,Data Analyst,Denmark,3.0,80649.0
python,Data Analyst,Belgium,3.0,96081.83333333333
pyspark,Data Engineer,Portugal,3.0,115625.39666666667
pyspark,Data Engineer,Italy,3.0,117322.83666666667
pyspark,Machine Learning Engineer,Greece,3.0,148673.29
pyspark,Senior Data Engineer,Germany,3.0,151925.0
powerpoint,Data Analyst,Belgium,3.0,84122.675
power bi,Data Analyst,Sweden,3.0,109631.48333333334
power bi,Data Analyst,Netherlands,3.0,88614.33333333333
power bi,Data Scientist,Greece,3.0,90980.415
power bi,Data Engineer,Greece,3.0,91705.87833333334
power bi,Senior Data Engineer,Germany,3.0,151925.0
power bi,Business Analyst,Germany,3.0,94502.5
postgresql,Machine Learning Engineer,Germany,3.0,182481.66666666666
perl,Data Scientist,Belgium,3.0,114589.56
pandas,Machine Learning Engineer,Spain,3.0,143719.33333333334
pandas,Senior Data Scientist,Poland,3.0,138407.28
pandas,Data Scientist,Poland,3.0,119651.66666666667
pandas,Machine Learning Engineer,Germany,3.0,162396.66666666666
pandas,Data Engineer,France,3.0,94740.77333333333
oracle,Data Engineer,Greece,3.0,64125.39666666667
numpy,Data Scientist,Portugal,3.0,144735.6
nosql,Data Engineer,Spain,3.0,100699.66666666667
nosql,Software Engineer,Greece,3.0,63963.0
nosql,Data Scientist,Belgium,3.0,114589.56
mysql,Data Engineer,France,3.0,117553.21333333333
matplotlib,Machine Learning Engineer,Spain,3.0,147814.95666666667
matplotlib,Data Scientist,Poland,3.0,132183.33333333334
matplotlib,Data Analyst,Germany,3.0,110716.41666666667
looker,Senior Data Analyst,Spain,3.0,110845.16666666667
looker,Data Engineer,Portugal,3.0,117610.89333333333
looker,Data Scientist,Netherlands,3.0,112362.7
looker,Data Analyst,Netherlands,3.0,106940.43666666666
linux,Data Engineer,Spain,3.0,88940.5
linux,Software Engineer,Poland,3.0,91773.0
linux,Machine Learning Engineer,Greece,3.0,94402.24666666666
kubernetes,Machine Learning Engineer,Portugal,3.0,149315.66666666666
kubernetes,Machine Learning Engineer,Poland,3.0,129625.5
kubernetes,Machine Learning Engineer,Netherlands,3.0,105403.33333333333
kubernetes,Data Engineer,Italy,3.0,97272.17
kubernetes,Senior Data Engineer,Germany,3.0,91773.0
kubernetes,Data Scientist,Germany,3.0,162225.0
kubernetes,Data Analyst,France,3.0,88940.5
keras,Machine Learning Engineer,Spain,3.0,147814.95666666667
kafka,Machine Learning Engineer,Poland,3.0,120863.29
kafka,Data Engineer,Italy,3.0,116920.10666666667
kafka,Data Engineer,Hungary,3.0,134739.10666666666
kafka,Data Analyst,France,3.0,122160.40333333332
jupyter,Data Analyst,Spain,3.0,108038.41666666667
jenkins,Data Engineer,Spain,3.0,58332.333333333336
jenkins,Data Engineer,Germany,3.0,134739.10666666666
jenkins,Senior Data Engineer,France,3.0,151925.0
jenkins,Data Analyst,France,3.0,117413.81999999999
java,Machine Learning Engineer,Spain,3.0,164834.33333333334
java,Software Engineer,Poland,3.0,80930.19
java,Machine Learning Engineer,Poland,3.0,127378.21166666667
java,Machine Learning Engineer,Netherlands,3.0,158963.33333333334
java,Data Engineer,Hungary,3.0,147372.74333333332
java,Machine Learning Engineer,Greece,3.0,116487.16333333333
java,Data Analyst,Greece,3.0,142072.87833333333
java,Software Engineer,Germany,3.0,88940.5
java,Senior Data Engineer,Germany,3.0,134508.73
java,Data Analyst,France,3.0,99352.08333333333
hadoop,Senior Data Engineer,Ireland,3.0,134792.66666666666
hadoop,Data Analyst,France,3.0,78091.16666666667
groovy,Data Engineer,Poland,3.0,84288.33333333333
go,Business Analyst,Sweden,3.0,103583.66666666667
go,Senior Data Engineer,Spain,3.0,111823.66666666667
go,Data Analyst,Portugal,3.0,60745.28
go,Machine Learning Engineer,Poland,3.0,112247.16833333333
go,Data Analyst,Netherlands,3.0,107013.22333333333
go,Machine Learning Engineer,Germany,3.0,144577.66666666666
go,Data Scientist,Germany,3.0,114935.64
go,Senior Data Engineer,France,3.0,151925.0
go,Data Scientist,France,3.0,86211.0
gitlab,Data Scientist,France,3.0,74984.0
gitlab,Data Engineer,France,3.0,114688.44
github,Data Engineer,Spain,3.0,92597.0
github,Software Engineer,Poland,3.0,88940.5
github,Data Analyst,Germany,3.0,155423.22333333333
github,Data Scientist,France,3.0,94996.38500000001
git,Data Engineer,Spain,3.0,95165.13333333335
git,Data Scientist,Hungary,3.0,85215.33333333333
git,Machine Learning Engineer,Greece,3.0,99964.24666666666
git,Data Engineer,Greece,3.0,97560.22666666667
git,Senior Data Scientist,Germany,3.0,158791.66666666666
git,Senior Data Engineer,Germany,3.0,134621.0
git,Data Engineer,Belgium,3.0,114976.49666666666
gcp,Data Engineer,Spain,3.0,83283.39666666667
gcp,Senior Data Engineer,Poland,3.0,61491.0
gcp,Senior Data Engineer,Germany,3.0,134621.0
gcp,Data Analyst,Germany,3.0,131302.16833333333
gcp,Senior Data Engineer,France,3.0,151925.0
gcp,Data Scientist,France,3.0,129848.66666666667
gcp,Data Analyst,France,3.0,84130.05666666666
gcp,Data Analyst,Belgium,3.0,169950.0
flow,Data Engineer,Greece,3.0,91475.50166666666
flow,Data Scientist,France,3.0,127209.29166666667
excel,Senior Data Analyst,Spain,3.0,110845.16666666667
excel,Data Engineer,Portugal,3.0,106158.66666666667
excel,Data Scientist,Poland,3.0,50562.700000000004
excel,Business Analyst,Poland,3.0,69525.0
elasticsearch,Data Engineer,Spain,3.0,129956.47333333334
elasticsearch,Data Engineer,Netherlands,3.0,118135.67833333333
elasticsearch,Senior Data Engineer,France,3.0,151925.0
docker,Software Engineer,Spain,3.0,138569.33333333334
docker,Machine Learning Engineer,Spain,3.0,97118.01333333332
docker,Machine Learning Engineer,Romania,3.0,144577.66666666666
docker,Machine Learning Engineer,Poland,3.0,88589.95666666667
docker,Data Scientist,Poland,3.0,129501.21333333333
docker,Senior Data Engineer,Germany,3.0,91773.0
docker,Software Engineer,France,3.0,113506.0
docker,Data Analyst,France,3.0,117413.81999999999
databricks,Machine Learning Engineer,Spain,3.0,95868.62333333334
databricks,Data Scientist,Spain,3.0,121334.0
databricks,Machine Learning Engineer,Portugal,3.0,147084.0
databricks,Data Engineer,Germany,3.0,134739.10666666666
databricks,Data Analyst,Belgium,3.0,114561.75
chef,Data Scientist,France,3.0,96071.36166666665
c#,Data Engineer,Portugal,3.0,113289.01333333335
c#,Data Engineer,Poland,3.0,99317.06333333334
bigquery,Data Analyst,Portugal,3.0,119608.40666666668
bigquery,Senior Data Engineer,Netherlands,3.0,154671.66666666666
bigquery,Senior Data Scientist,Germany,3.0,155358.33333333334
bigquery,Data Analyst,France,3.0,93854.97333333333
bash,Machine Learning Engineer,Belgium,3.0,90306.62333333334
azure,Data Engineer,Portugal,3.0,100425.0
azure,Software Engineer,Poland,3.0,114913.66666666667
azure,Data Scientist,Poland,3.0,147973.92
azure,Data Analyst,Poland,3.0,111961.0
azure,Cloud Engineer,Poland,3.0,125934.66666666667
azure,Machine Learning Engineer,Netherlands,3.0,102450.66666666667
azure,Data Scientist,Hungary,3.0,115257.0
azure,Data Analyst,Greece,3.0,123868.48666666665
azure,Machine Learning Engineer,Germany,3.0,104715.29333333333
azure,Data Analyst,Germany,3.0,86275.89
aws,Senior Data Scientist,Spain,3.0,94418.04
aws,Cloud Engineer,Spain,3.0,93061.52999999998
aws,Data Scientist,Portugal,3.0,162225.0
aws,Senior Data Scientist,Poland,3.0,114923.27999999998
aws,Data Scientist,Poland,3.0,142286.94666666666
aws,Cloud Engineer,Poland,3.0,120372.66666666667
aws,Senior Data Engineer,Ireland,3.0,154843.33333333334
aws,Senior Data Engineer,Hungary,3.0,151925.0
aws,Machine Learning Engineer,Hungary,3.0,110913.83333333333
aws,Data Analyst,Germany,3.0,86524.80666666666
aws,Software Engineer,France,3.0,131840.0
aws,Machine Learning Engineer,France,3.0,101489.33333333333
aws,Data Scientist,Belgium,3.0,162225.0
atlassian,Data Engineer,Netherlands,3.0,91773.0
ansible,Data Engineer,Portugal,3.0,133041.66666666666
airflow,Machine Learning Engineer,Spain,3.0,138432.0
airflow,Data Analyst,Spain,3.0,99746.91666666667
airflow,Senior Data Scientist,Portugal,3.0,151925.0
airflow,Machine Learning Engineer,Poland,3.0,94460.95666666667
airflow,Senior Data Engineer,Netherlands,3.0,154671.66666666666
airflow,Machine Learning Engineer,Netherlands,3.0,106742.33333333333
airflow,Senior Data Scientist,France,3.0,162225.0
airflow,Data Scientist,France,3.0,134402.125
word,Data Engineer,Poland,2.0,79038.595
word,Data Analyst,Belgium,2.0,87524.25
windows,Software Engineer,Poland,2.0,91773.0
windows,Data Scientist,Germany,2.0,117582.74
vue,Software Engineer,Greece,2.0,66744.0
visio,Data Scientist,France,2.0,117143.1875
unix,Data Engineer,Italy,2.0,96070.16
unix,Data Engineer,Hungary,2.0,151925.0
unix,Senior Data Engineer,France,2.0,151925.0
unify,Data Engineer,Spain,2.0,95718.1575
unify,Senior Data Engineer,Germany,2.0,121849.0
typescript,Data Engineer,Poland,2.0,99137.5
typescript,Senior Data Engineer,Germany,2.0,121849.0
terraform,Senior Data Engineer,Spain,2.0,121849.0
terraform,Senior Data Engineer,Romania,2.0,121849.0
terraform,Machine Learning Engineer,Netherlands,2.0,121025.0
terraform,Data Engineer,Netherlands,2.0,101241.0175
terraform,Machine Learning Engineer,Hungary,2.0,70838.25
terraform,Data Engineer,Hungary,2.0,119317.77500000001
terraform,Data Scientist,Germany,2.0,171680.91499999998
terraform,Cloud Engineer,Germany,2.0,91773.0
terraform,Senior Data Engineer,Finland,2.0,103913.095
tensorflow,Machine Learning Engineer,Sweden,2.0,127127.75
tensorflow,Senior Data Scientist,Netherlands,2.0,118656.0
tensorflow,Machine Learning Engineer,Netherlands,2.0,122570.0
tensorflow,Data Scientist,Netherlands,2.0,168920.0
tensorflow,Senior Data Scientist,Germany,2.0,196730.0
tensorflow,Data Scientist,Germany,2.0,162225.0
tensorflow,Data Engineer,France,2.0,100021.755
tensorflow,Machine Learning Engineer,Belgium,2.0,97916.435
tableau,Business Analyst,Sweden,2.0,90382.5
tableau,Senior Data Analyst,Spain,2.0,109012.625
tableau,Machine Learning Engineer,Spain,2.0,137519.935
tableau,Data Engineer,Romania,2.0,145096.615
tableau,Senior Data Engineer,Portugal,2.0,121849.0
tableau,Senior Data Analyst,Portugal,2.0,114524.155
tableau,Senior Data Analyst,Italy,2.0,103141.625
tableau,Data Scientist,Italy,2.0,79269.57250000001
tableau,Data Engineer,Italy,2.0,147073.7
tableau,Senior Data Scientist,Ireland,2.0,154500.0
tableau,Senior Data Engineer,Ireland,2.0,151925.0
tableau,Data Scientist,Ireland,2.0,126999.0
tableau,Data Engineer,Ireland,2.0,125800.595
tableau,Business Analyst,Greece,2.0,69988.5
tableau,Senior Data Scientist,Germany,2.0,157075.0
tableau,Data Analyst,Denmark,2.0,75087.0
t-sql,Data Engineer,Greece,2.0,96070.16
ssis,Data Engineer,Romania,2.0,145096.615
ssis,Senior Data Engineer,Poland,2.0,151925.0
ssis,Data Engineer,Poland,2.0,151925.0
ssis,Software Engineer,Hungary,2.0,58401.0
ssis,Data Scientist,Hungary,2.0,91773.0
ssis,Software Engineer,Greece,2.0,139436.25
sql server,Data Analyst,Portugal,2.0,145842.85
sql server,Data Engineer,Ireland,2.0,121849.0
sql server,Data Analyst,Ireland,2.0,122518.5
sql server,Data Engineer,Hungary,2.0,151925.0
sql server,Senior Data Scientist,Greece,2.0,84238.55
sql server,Business Analyst,Belgium,2.0,83430.0
sql,Software Engineer,Spain,2.0,126484.0
sql,Machine Learning Engineer,Spain,2.0,201365.0
sql,Business Analyst,Spain,2.0,139771.0
sql,Software Engineer,Romania,2.0,200335.0
sql,Senior Data Engineer,Romania,2.0,121849.0
sql,Senior Data Analyst,Romania,2.0,114510.25
sql,Software Engineer,Portugal,2.0,126484.0
sql,Machine Learning Engineer,Portugal,2.0,184370.0
sql,Business Analyst,Poland,2.0,120690.25
sql,Senior Data Engineer,Netherlands,2.0,156045.0
sql,Senior Data Analyst,Italy,2.0,114510.25
sql,Data Scientist,Italy,2.0,126999.0
sql,Machine Learning Engineer,Ireland,2.0,170980.0
sql,Software Engineer,Hungary,2.0,58401.0
sql,Senior Data Analyst,Hungary,2.0,90382.5
sql,Machine Learning Engineer,Hungary,2.0,124733.0
sql,Senior Data Scientist,Greece,2.0,84238.55
sql,Business Analyst,Greece,2.0,69988.5
sql,Software Engineer,France,2.0,186172.5
sql,Senior Data Analyst,Finland,2.0,109012.625
sql,Data Engineer,Denmark,2.0,125800.595
spring,Data Engineer,Spain,2.0,58401.0
spring,Senior Data Engineer,France,2.0,86674.5
spreadsheet,Data Analyst,Spain,2.0,104802.5
splunk,Data Engineer,Poland,2.0,151925.0
spark,Senior Data Engineer,Sweden,2.0,151925.0
spark,Data Analyst,Netherlands,2.0,125805.745
spark,Senior Data Scientist,Hungary,2.0,126999.0
spark,Machine Learning Engineer,Hungary,2.0,137170.25
spark,Data Scientist,Greece,2.0,59683.0925
spark,Software Engineer,France,2.0,141985.5
spark,Senior Data Analyst,France,2.0,126484.0
spark,Data Engineer,Finland,2.0,91773.0
spark,Data Scientist,Belgium,2.0,110313.0
spark,Data Analyst,Belgium,2.0,169950.0
snowflake,Senior Data Engineer,Romania,2.0,121849.0
snowflake,Data Engineer,Portugal,2.0,137762.5
snowflake,Machine Learning Engineer,Poland,2.0,152262.0675
snowflake,Senior Data Engineer,Netherlands,2.0,156045.0
snowflake,Senior Data Engineer,Ireland,2.0,151925.0
snowflake,Data Engineer,Greece,2.0,125800.595
snowflake,Business Analyst,Greece,2.0,69988.5
snowflake,Data Scientist,Germany,2.0,83430.0
snowflake,Data Engineer,Germany,2.0,151925.0
snowflake,Data Engineer,Finland,2.0,91773.0
shell,Data Engineer,Ireland,2.0,151925.0
shell,Data Engineer,Hungary,2.0,151925.0
sheets,Data Analyst,Hungary,2.0,78029.70999999999
sheets,Data Analyst,Belgium,2.0,85573.945
scikit-learn,Machine Learning Engineer,Portugal,2.0,193125.0
scikit-learn,Senior Data Scientist,Poland,2.0,162225.0
scikit-learn,Machine Learning Engineer,Poland,2.0,108948.25
scikit-learn,Machine Learning Engineer,Ireland,2.0,140080.0
scikit-learn,Data Scientist,Greece,2.0,100202.2625
scikit-learn,Senior Data Scientist,Germany,2.0,162225.0
scikit-learn,Senior Data Engineer,Germany,2.0,151925.0
scala,Machine Learning Engineer,Sweden,2.0,127127.75
scala,Machine Learning Engineer,Spain,2.0,161761.5
scala,Data Scientist,Spain,2.0,148320.0
scala,Senior Data Engineer,Netherlands,2.0,121849.0
scala,Data Engineer,Netherlands,2.0,91773.0
scala,Data Analyst,Netherlands,2.0,110467.5
scala,Data Scientist,Italy,2.0,79269.57250000001
scala,Data Analyst,Ireland,2.0,98892.875
scala,Senior Data Engineer,Germany,2.0,121849.0
scala,Cloud Engineer,Germany,2.0,91773.0
scala,Senior Data Engineer,France,2.0,151925.0
scala,Data Scientist,France,2.0,117143.1875
scala,Data Analyst,France,2.0,70838.25
sas,Data Scientist,Sweden,2.0,162225.0
sas,Senior Data Analyst,Spain,2.0,103515.0
sas,Data Scientist,Spain,2.0,59328.0
sas,Business Analyst,Spain,2.0,88992.0
sas,Data Analyst,Portugal,2.0,75087.0
sas,Senior Data Scientist,Poland,2.0,94502.5
sas,Data Scientist,Poland,2.0,44496.0
sas,Data Analyst,Poland,2.0,114510.25
sas,Business Analyst,Poland,2.0,83275.5
sas,Data Analyst,Netherlands,2.0,91880.12
sas,Software Engineer,Italy,2.0,108819.5
sas,Data Scientist,Italy,2.0,91773.0
sas,Data Scientist,Hungary,2.0,162225.0
sas,Data Analyst,Greece,2.0,101455.0
sas,Data Analyst,Germany,2.0,108819.5
sas,Machine Learning Engineer,France,2.0,58401.0
sas,Data Engineer,Belgium,2.0,138268.23
sas,Business Analyst,Belgium,2.0,75087.0
sap,Data Scientist,Portugal,2.0,138245.57
sap,Data Analyst,Portugal,2.0,130861.5
sap,Software Engineer,Poland,2.0,91773.0
sap,Senior Data Engineer,Poland,2.0,121849.0
sap,Data Engineer,Poland,2.0,105163.0
sap,Data Engineer,Italy,2.0,129493.66
sap,Senior Data Engineer,Germany,2.0,151925.0
sap,Data Analyst,Germany,2.0,80347.20999999999
sap,Data Analyst,France,2.0,100296.25
sap,Data Scientist,Denmark,2.0,110802.25
ruby,Software Engineer,Spain,2.0,161195.0
ruby,Senior Data Engineer,Poland,2.0,99676.19
ruby,Data Engineer,Poland,2.0,83275.5
ruby,Data Engineer,Italy,2.0,91773.0
ruby,Senior Data Engineer,Ireland,2.0,151925.0
ruby,Machine Learning Engineer,Hungary,2.0,58401.0
ruby,Software Engineer,Germany,2.0,91773.0
rshiny,Data Scientist,France,2.0,162225.0
redshift,Data Engineer,Spain,2.0,125794.1575
redshift,Senior Data Engineer,Romania,2.0,121849.0
redshift,Senior Data Scientist,Poland,2.0,162225.0
redshift,Senior Data Engineer,Netherlands,2.0,156045.0
redshift,Data Engineer,Netherlands,2.0,100453.84
redshift,Data Engineer,Ireland,2.0,125800.595
redshift,Data Engineer,Greece,2.0,121849.0
redis,Data Engineer,France,2.0,151925.0
react,Senior Data Analyst,Spain,2.0,114510.25
react,Software Engineer,Greece,2.0,66744.0
r,Data Scientist,Sweden,2.0,162225.0
r,Senior Data Engineer,Spain,2.0,121849.0
r,Machine Learning Engineer,Spain,2.0,131376.5
r,Business Analyst,Spain,2.0,76941.0
r,Senior Data Scientist,Portugal,2.0,162225.0
r,Data Scientist,Portugal,2.0,148865.90000000002
r,Senior Data Analyst,Poland,2.0,105987.0
r,Data Engineer,Poland,2.0,126578.245
r,Senior Data Scientist,Ireland,2.0,154500.0
r,Data Scientist,Ireland,2.0,86734.4975
r,Data Scientist,Hungary,2.0,162225.0
r,Data Analyst,Greece,2.0,136105.22999999998
r,Business Analyst,Greece,2.0,69988.5
r,Senior Data Analyst,Germany,2.0,114510.25
r,Machine Learning Engineer,Germany,2.0,89661.5
r,Senior Data Scientist,France,2.0,91773.0
r,Senior Data Analyst,France,2.0,103141.625
r,Data Engineer,France,2.0,125028.095
r,Senior Data Analyst,Finland,2.0,114524.155
r,Data Analyst,Denmark,2.0,75087.0
qlik,Senior Data Analyst,Spain,2.0,114510.25
qlik,Data Engineer,Spain,2.0,130781.16
qlik,Data Analyst,Spain,2.0,103209.09
qlik,Senior Data Analyst,France,2.0,103141.625
qlik,Data Scientist,France,2.0,98030.25
qlik,Data Engineer,France,2.0,126146.16
qlik,Data Analyst,France,2.0,84557.33499999999
qlik,Business Analyst,Belgium,2.0,83430.0
pytorch,Machine Learning Engineer,Sweden,2.0,127127.75
pytorch,Data Engineer,Poland,2.0,151925.0
pytorch,Machine Learning Engineer,Ireland,2.0,170980.0
pytorch,Data Scientist,Hungary,2.0,117162.5
pytorch,Software Engineer,Greece,2.0,66744.0
pytorch,Data Scientist,Greece,2.0,92080.97
pytorch,Senior Data Scientist,Germany,2.0,196730.0
pytorch,Software Engineer,France,2.0,124073.0275
pytorch,Machine Learning Engineer,Finland,2.0,141419.0
pytorch,Data Scientist,Belgium,2.0,162225.0
python,Senior Data Scientist,Sweden,2.0,163770.0
python,Senior Data Analyst,Sweden,2.0,114510.25
python,Business Analyst,Spain,2.0,127720.0
python,Software Engineer,Romania,2.0,122415.5
python,Senior Data Engineer,Romania,2.0,121849.0
python,Data Scientist,Romania,2.0,97438.0
python,Data Analyst,Romania,2.0,49550.21
python,Software Engineer,Portugal,2.0,94811.5
python,Senior Data Analyst,Portugal,2.0,114524.155
python,Business Analyst,Poland,2.0,124939.0
python,Senior Data Scientist,Netherlands,2.0,118656.0
python,Senior Data Analyst,Italy,2.0,103141.625
python,Machine Learning Engineer,Italy,2.0,99790.51999999999
python,Software Engineer,Hungary,2.0,87524.25
python,Senior Data Engineer,Hungary,2.0,151925.0
python,Business Analyst,Greece,2.0,69988.5
python,Senior Data Analyst,Germany,2.0,114510.25
python,Business Analyst,France,2.0,103141.625
python,Senior Data Scientist,Finland,2.0,126498.42
python,Senior Data Engineer,Finland,2.0,103913.095
python,Senior Data Analyst,Finland,2.0,114524.155
python,Data Scientist,Denmark,2.0,139853.40000000002
python,Business Analyst,Belgium,2.0,83430.0
pyspark,Senior Data Engineer,Spain,2.0,126578.245
pyspark,Data Engineer,Spain,2.0,143726.2
pyspark,Data Analyst,Poland,2.0,80089.70999999999
pyspark,Data Analyst,Netherlands,2.0,114524.155
pyspark,Senior Data Scientist,Germany,2.0,121849.0
pyspark,Data Engineer,Germany,2.0,126146.16
pyspark,Data Scientist,France,2.0,162225.0
pyspark,Data Engineer,France,2.0,126146.16
pyspark,Data Analyst,France,2.0,58813.0
powershell,Senior Data Engineer,Portugal,2.0,155787.5
powershell,Data Engineer,Netherlands,2.0,91773.0
powerpoint,Data Scientist,Poland,2.0,53596.05
powerpoint,Business Analyst,Poland,2.0,58401.0
powerpoint,Data Analyst,Germany,2.0,86455.625
power bi,Senior Data Engineer,Sweden,2.0,151925.0
power bi,Business Analyst,Sweden,2.0,108098.5
power bi,Business Analyst,Spain,2.0,76941.0
power bi,Data Engineer,Romania,2.0,145096.615
power bi,Data Engineer,Portugal,2.0,83275.5
power bi,Senior Data Engineer,Poland,2.0,121849.0
power bi,Data Scientist,Poland,2.0,127013.42
power bi,Business Analyst,Netherlands,2.0,100116.0
power bi,Data Scientist,Italy,2.0,79269.57250000001
power bi,Software Engineer,Hungary,2.0,58401.0
power bi,Software Engineer,Greece,2.0,139436.25
power bi,Senior Data Analyst,Germany,2.0,94798.625
power bi,Data Engineer,France,2.0,151152.5
power bi,Data Analyst,Denmark,2.0,75087.0
power bi,Data Engineer,Belgium,2.0,112415.745
postgresql,Senior Data Engineer,Poland,2.0,125800.595
postgresql,Data Engineer,Germany,2.0,96070.16
phoenix,Data Engineer,Poland,2.0,151925.0
pandas,Data Scientist,Romania,2.0,97438.0
pandas,Machine Learning Engineer,Portugal,2.0,193125.0
pandas,Data Analyst,Poland,2.0,79928.0
pandas,Machine Learning Engineer,Hungary,2.0,124733.0
pandas,Data Scientist,Hungary,2.0,72061.375
pandas,Machine Learning Engineer,Greece,2.0,97916.435
pandas,Senior Data Scientist,Germany,2.0,162225.0
pandas,Senior Data Engineer,Germany,2.0,151925.0
outlook,Data Analyst,Netherlands,2.0,111330.125
oracle,Data Engineer,Romania,2.0,145096.615
oracle,Data Scientist,Portugal,2.0,117143.1875
oracle,Data Engineer,Portugal,2.0,123600.0
oracle,Data Engineer,Italy,2.0,100367.32
oracle,Data Analyst,Italy,2.0,83527.33499999999
oracle,Data Scientist,Ireland,2.0,131592.54249999998
oracle,Data Engineer,Ireland,2.0,121849.0
oracle,Data Scientist,Hungary,2.0,91773.0
oracle,Data Engineer,Hungary,2.0,151925.0
oracle,Data Engineer,Germany,2.0,148062.5
oracle,Data Scientist,France,2.0,118244.0
oracle,Data Scientist,Belgium,2.0,126498.42
oracle,Business Analyst,Belgium,2.0,83430.0
opencv,Cloud Engineer,Poland,2.0,86674.5
opencv,Data Scientist,Greece,2.0,100202.2625
numpy,Machine Learning Engineer,Spain,2.0,169692.5
numpy,Data Analyst,Spain,2.0,114510.25
numpy,Machine Learning Engineer,Portugal,2.0,193125.0
numpy,Senior Data Scientist,Poland,2.0,126498.42
numpy,Data Scientist,Poland,2.0,117162.5
numpy,Data Analyst,Poland,2.0,79928.0
numpy,Data Scientist,Netherlands,2.0,168920.0
numpy,Machine Learning Engineer,Hungary,2.0,114690.5
numpy,Data Scientist,Hungary,2.0,72061.375
numpy,Machine Learning Engineer,Greece,2.0,97916.435
numpy,Data Analyst,Germany,2.0,108819.5
npm,Senior Data Analyst,Spain,2.0,114510.25
nosql,Machine Learning Engineer,Spain,2.0,201365.0
