country,job,param,aval,parameter
Spain,Software Engineer,qr1,59.1,QR1
Sweden,Business Analyst,qr1,76.9,QR1
Sweden,Data Analyst,qr1,92.7,QR1
Sweden,Data Engineer,qr1,98.9,QR1
Sweden,Data Scientist,qr1,114.9,QR1
Sweden,Machine Learning Engineer,qr1,114.3,QR1
Sweden,Senior Data Analyst,qr1,82.8,QR1
Sweden,Senior Data Engineer,qr1,151.9,QR1
Sweden,Senior Data Scientist,qr1,163.8,QR1
Sweden,Software Engineer,qr1,161.2,QR1
Belgium,Business Analyst,med,91.8,MED
Belgium,Data Analyst,med,80.3,MED
Belgium,Data Engineer,med,101.3,MED
Belgium,Data Scientist,med,127,MED
Belgium,Machine Learning Engineer,med,91.8,MED
Belgium,Senior Data Engineer,med,91.8,MED
Belgium,Senior Data Scientist,med,91.8,MED
Belgium,Software Engineer,med,60.4,MED
Denmark,Data Analyst,med,91.8,MED
Denmark,Data Engineer,med,125.8,MED
Denmark,Data Scientist,med,112.8,MED
Denmark,Machine Learning Engineer,med,139.7,MED
Denmark,Senior Data Engineer,med,151.9,MED
Finland,Data Analyst,med,108.8,MED
Finland,Data Engineer,med,99.7,MED
Finland,Data Scientist,med,118.7,MED
Finland,Machine Learning Engineer,med,158.1,MED
Finland,Senior Data Analyst,med,114.5,MED
Finland,Senior Data Engineer,med,103.9,MED
Finland,Senior Data Scientist,med,126.5,MED
Finland,Software Engineer,med,77.2,MED
France,Business Analyst,med,91.8,MED
France,Cloud Engineer,med,109.1,MED
France,Data Analyst,med,71.3,MED
France,Data Engineer,med,101.3,MED
France,Data Scientist,med,90.8,MED
France,Machine Learning Engineer,med,83.3,MED
France,Senior Data Analyst,med,114.5,MED
France,Senior Data Engineer,med,151.9,MED
France,Senior Data Scientist,med,162.2,MED
France,Software Engineer,med,146.8,MED
Germany,Business Analyst,med,91.8,MED
Germany,Cloud Engineer,med,91.8,MED
Germany,Data Analyst,med,106.9,MED
Germany,Data Engineer,med,151.9,MED
Germany,Data Scientist,med,135.5,MED
Germany,Machine Learning Engineer,med,91.8,MED
Germany,Senior Data Analyst,med,114.5,MED
Germany,Senior Data Engineer,med,151.9,MED
Germany,Senior Data Scientist,med,162.2,MED
Germany,Software Engineer,med,87.5,MED
Greece,Business Analyst,med,64.9,MED
Greece,Data Analyst,med,102.5,MED
Greece,Data Engineer,med,99.7,MED
Greece,Data Scientist,med,92.6,MED
Greece,Machine Learning Engineer,med,104.1,MED
Greece,Senior Data Engineer,med,46.4,MED
Greece,Senior Data Scientist,med,91.9,MED
Greece,Software Engineer,med,83.4,MED
Hungary,Cloud Engineer,med,91.8,MED
Hungary,Data Analyst,med,83.3,MED
Hungary,Data Engineer,med,151.9,MED
Hungary,Data Scientist,med,91.8,MED
Hungary,Machine Learning Engineer,med,83.3,MED
Hungary,Senior Data Analyst,med,90.4,MED
Hungary,Senior Data Engineer,med,151.9,MED
Hungary,Senior Data Scientist,med,91.8,MED
Hungary,Software Engineer,med,70.8,MED
Ireland,Data Analyst,med,101.5,MED
Ireland,Data Engineer,med,151.9,MED
Ireland,Data Scientist,med,105.1,MED
Ireland,Machine Learning Engineer,med,171,MED
Ireland,Senior Data Analyst,med,121.7,MED
Ireland,Senior Data Engineer,med,151.9,MED
Ireland,Senior Data Scientist,med,166.6,MED
Ireland,Software Engineer,med,91.8,MED
Italy,Business Analyst,med,44.5,MED
Italy,Data Analyst,med,54.6,MED
Italy,Data Engineer,med,100.4,MED
Italy,Data Scientist,med,91.3,MED
Italy,Machine Learning Engineer,med,91.8,MED
Italy,Senior Data Analyst,med,114.5,MED
Italy,Senior Data Scientist,med,75.1,MED
Italy,Software Engineer,med,96.9,MED
Netherlands,Business Analyst,med,91.8,MED
Netherlands,Data Analyst,med,96.7,MED
Netherlands,Data Engineer,med,100.4,MED
Netherlands,Data Scientist,med,162.2,MED
Netherlands,Machine Learning Engineer,med,126.5,MED
Netherlands,Senior Data Analyst,med,114.5,MED
Netherlands,Senior Data Engineer,med,151.9,MED
Netherlands,Senior Data Scientist,med,151.9,MED
Netherlands,Software Engineer,med,91.8,MED
Poland,Business Analyst,med,89.7,MED
Poland,Cloud Engineer,med,86.7,MED
Poland,Data Analyst,med,91.8,MED
Poland,Data Engineer,med,137.5,MED
Poland,Data Scientist,med,135.8,MED
Poland,Machine Learning Engineer,med,91.8,MED
Poland,Senior Data Analyst,med,114.5,MED
Poland,Senior Data Engineer,med,91.8,MED
Poland,Senior Data Scientist,med,162.2,MED
Poland,Software Engineer,med,91.8,MED
Portugal,Business Analyst,med,75.1,MED
Portugal,Data Analyst,med,91.8,MED
Portugal,Data Engineer,med,129.6,MED
Portugal,Data Scientist,med,157.1,MED
Portugal,Machine Learning Engineer,med,171,MED
Portugal,Senior Data Analyst,med,114.5,MED
Portugal,Senior Data Engineer,med,151.9,MED
Portugal,Senior Data Scientist,med,151.9,MED
Portugal,Software Engineer,med,97.8,MED
Romania,Business Analyst,med,83.3,MED
Romania,Cloud Engineer,med,58.4,MED
Romania,Data Analyst,med,75.1,MED
Romania,Data Engineer,med,100.8,MED
Romania,Data Scientist,med,124.6,MED
Romania,Machine Learning Engineer,med,171,MED
Romania,Senior Data Analyst,med,114.5,MED
Romania,Senior Data Engineer,med,121.8,MED
Romania,Software Engineer,med,144.7,MED
Spain,Business Analyst,med,89,MED
Spain,Cloud Engineer,med,91.8,MED
Spain,Data Analyst,med,94.7,MED
Spain,Data Engineer,med,137,MED
Spain,Data Scientist,med,90.8,MED
Spain,Machine Learning Engineer,med,104.1,MED
Spain,Senior Data Analyst,med,114.5,MED
Spain,Senior Data Engineer,med,151.9,MED
Spain,Senior Data Scientist,med,162.2,MED
Spain,Software Engineer,med,79.4,MED
Sweden,Business Analyst,med,91.8,MED
Sweden,Data Analyst,med,108.8,MED
