country,paramcd,job,aval,avalu,srcdom,paramtyp
Germany,MAX,Cloud Engineer,206000,USD,DATA JOBS,
Germany,MEAN,Cloud Engineer,123195,USD,DATA JOBS,
Germany,MEDIAN,Cloud Engineer,91773,USD,DATA JOBS,
Germany,MIN,Cloud Engineer,83275,USD,DATA JOBS,
Germany,STD,Cloud Engineer,56651,USD,DATA JOBS,
Germany,MAX,Data Analyst,206000,USD,DATA JOBS,
Germany,MEAN,Data Analyst,104609,USD,DATA JOBS,
Germany,MEDIAN,Data Analyst,106862,USD,DATA JOBS,
Germany,MIN,Data Analyst,52544,USD,DATA JOBS,
Germany,STD,Data Analyst,41485,USD,DATA JOBS,
Germany,MAX,Data Engineer,206000,USD,DATA JOBS,
Germany,MEAN,Data Engineer,134184,USD,DATA JOBS,
Germany,MEDIAN,Data Engineer,151925,USD,DATA JOBS,
Germany,MIN,Data Engineer,58401,USD,DATA JOBS,
Germany,STD,Data Engineer,39982,USD,DATA JOBS,
Germany,MAX,Data Scientist,197760,USD,DATA JOBS,
Germany,MEAN,Data Scientist,120778,USD,DATA JOBS,
Germany,MEDIAN,Data Scientist,135506,USD,DATA JOBS,
Germany,MIN,Data Scientist,58401,USD,DATA JOBS,
Germany,STD,Data Scientist,47769,USD,DATA JOBS,
Germany,MAX,Machine Learning Engineer,231235,USD,DATA JOBS,
Germany,MEAN,Machine Learning Engineer,117299,USD,DATA JOBS,
Germany,MEDIAN,Machine Learning Engineer,91773,USD,DATA JOBS,
Germany,MIN,Machine Learning Engineer,45751,USD,DATA JOBS,
Germany,STD,Machine Learning Engineer,53358,USD,DATA JOBS,
Germany,MAX,Senior Data Analyst,122982,USD,DATA JOBS,
Germany,MEAN,Senior Data Analyst,102543,USD,DATA JOBS,
Germany,MEDIAN,Senior Data Analyst,114510,USD,DATA JOBS,
Germany,MIN,Senior Data Analyst,59328,USD,DATA JOBS,
Germany,STD,Senior Data Analyst,19945,USD,DATA JOBS,
Germany,MAX,Senior Data Engineer,160165,USD,DATA JOBS,
Germany,MEAN,Senior Data Engineer,131379,USD,DATA JOBS,
Germany,MEDIAN,Senior Data Engineer,151925,USD,DATA JOBS,
Germany,MIN,Senior Data Engineer,75087,USD,DATA JOBS,
Germany,STD,Senior Data Engineer,30406,USD,DATA JOBS,
Germany,MAX,Senior Data Scientist,231235,USD,DATA JOBS,
Germany,MEAN,Senior Data Scientist,153190,USD,DATA JOBS,
Germany,MEDIAN,Senior Data Scientist,162225,USD,DATA JOBS,
Germany,MIN,Senior Data Scientist,83275,USD,DATA JOBS,
Germany,STD,Senior Data Scientist,34645,USD,DATA JOBS,
Germany,MAX,Software Engineer,182601,USD,DATA JOBS,
Germany,MEAN,Software Engineer,93805,USD,DATA JOBS,
Germany,MEDIAN,Software Engineer,87524,USD,DATA JOBS,
Germany,MIN,Software Engineer,58401,USD,DATA JOBS,
Germany,STD,Software Engineer,44528,USD,DATA JOBS,
Greece,MAX,Business Analyst,75087,USD,DATA JOBS,
Greece,MEAN,Business Analyst,68289,USD,DATA JOBS,
Greece,MEDIAN,Business Analyst,64890,USD,DATA JOBS,
Greece,MIN,Business Analyst,64890,USD,DATA JOBS,
Greece,STD,Business Analyst,5887,USD,DATA JOBS,
Greece,MAX,Data Analyst,206000,USD,DATA JOBS,
Greece,MEAN,Data Analyst,115033,USD,DATA JOBS,
